,cod_new,dsg_new,cod_old,dsg_old,Designação antiga,Observações (até 2013),Observações (após 2013),Concelho,Unnamed: 8,Unnamed: 9
2420,120607,"UNIÃO DAS FREGUESIAS DE CRATO E MÁRTIRES, FLOR DA ROSA E VALE DO PESO",120603,FLOR DA ROSA,,,,CRATO,,
2421,120607,"UNIÃO DAS FREGUESIAS DE CRATO E MÁRTIRES, FLOR DA ROSA E VALE DO PESO",120606,VALE DO PESO,,,,CRATO,,
2422,120706,SANTA EULÁLIA,120706,SANTA EULÁLIA,,,,ELVAS,,
2423,120707,SÃO BRÁS E SÃO LOURENÇO,120707,SÃO BRÁS E SÃO LOURENÇO,VÁRZEA,,,ELVAS,,
2424,120708,SÃO VICENTE E VENTOSA,120708,SÃO VICENTE E VENTOSA,VENTOSA,,,ELVAS,,
2425,120712,"ASSUNÇÃO, AJUDA, SALVADOR E SANTO ILDEFONSO",120701,"AJUDA, SALVADOR E SANTO ILDEFONSO",,,,ELVAS,,
2426,120712,"ASSUNÇÃO, AJUDA, SALVADOR E SANTO ILDEFONSO",120703,ASSUNÇÃO,,CIDADE (CARTA RÉGIA DE 21 ABR. 1513),,ELVAS,,
2427,120713,"CAIA, SÃO PEDRO E ALCÁÇOVA",120702,ALCÁÇOVA,,CIDADE (CARTA RÉGIA DE 21 ABR. 1513),,ELVAS,,
2428,120713,"CAIA, SÃO PEDRO E ALCÁÇOVA",120705,CAIA E SÃO PEDRO,,CIDADE (CARTA RÉGIA DE 21 ABR. 1513),,ELVAS,,
2429,120714,UNIÃO DAS FREGUESIAS DE BARBACENA E VILA FERNANDO,120704,BARBACENA,,EM 1920 DEU ORIGEM À FREG. DE VILA FERNANDO,,ELVAS,,
2430,120714,UNIÃO DAS FREGUESIAS DE BARBACENA E VILA FERNANDO,120711,VILA FERNANDO,,"FREG. (L. 1027, DE 23 AGO. 1920); SAÍDA DA FREG. DE BARBACENA",,ELVAS,,
2431,120715,UNIÃO DAS FREGUESIAS DE TERRUGEM E VILA BOIM,120709,TERRUGEM,,,,ELVAS,,
2432,120715,UNIÃO DAS FREGUESIAS DE TERRUGEM E VILA BOIM,120710,VILA BOIM,,,,ELVAS,,
2433,120801,CABEÇO DE VIDE,120801,CABEÇO DE VIDE,,,,FRONTEIRA,,
2434,120802,FRONTEIRA,120802,FRONTEIRA,,VILA (ORIGEM DESCONHECIDA),,FRONTEIRA,,
2435,120803,SÃO SATURNINO,120803,SÃO SATURNINO,VALONGO,,,FRONTEIRA,,
2436,120902,BELVER,120902,BELVER,,,,GAVIAO,,
2437,120903,COMENDA,120903,COMENDA,,,,GAVIAO,,
2438,120905,MARGEM,120905,MARGEM,,,,GAVIAO,,
2439,120906,UNIÃO DAS FREGUESIAS DE GAVIÃO E ATALAIA,120901,ATALAIA,,,,GAVIAO,,
2440,120906,UNIÃO DAS FREGUESIAS DE GAVIÃO E ATALAIA,120904,GAVIÃO,,,,GAVIAO,,
2441,121001,BEIRÃ,121001,BEIRÃ,,"FREG. (DEC. L. 33729, DE 24 JUN. 1944); SAÍDA DA FREG. DE STO. ANTÓNIO DAS AREIAS",,MARVAO,,
2442,121002,SANTA MARIA DE MARVÃO,121002,SANTA MARIA DE MARVÃO,,VILA (ORIGEM DESCONHECIDA),,MARVAO,,
2443,121003,SANTO ANTÓNIO DAS AREIAS,121003,SANTO ANTÓNIO DAS AREIAS,,EM 1944 DEU ORIGEM À FREG. DE BEIRÃ,,MARVAO,,
2444,121004,SÃO SALVADOR DA ARAMENHA,121004,SÃO SALVADOR DA ARAMENHA,,,,MARVAO,,
2445,121101,ASSUMAR,121101,ASSUMAR,,,,MONFORTE,,
2446,121102,MONFORTE,121102,MONFORTE,,VILA (ORIGEM DESCONHECIDA),,MONFORTE,,
2447,121103,SANTO ALEIXO,121103,SANTO ALEIXO,,,,MONFORTE,,
2448,121104,VAIAMONTE,121104,VAIAMONTE,,,,MONFORTE,,
2449,121201,ALPALHÃO,121201,ALPALHÃO,,,,NISA,,
2450,121205,MONTALVÃO,121205,MONTALVÃO,,,,NISA,,
2451,121207,SANTANA,121207,SANTANA,,"FREG. (DEC. L. 42087, DE 05 JAN. 1959), SAÍDA DA FREG. DE S. SIMÃO",,NISA,,
2452,121208,SÃO MATIAS,121208,SÃO MATIAS,CACHEIRA,,,NISA,,
2453,121210,TOLOSA,121210,TOLOSA,,,,NISA,,
2454,121211,UNIÃO DAS FREGUESIAS DE AREZ E AMIEIRA DO TEJO,121202,AMIEIRA DO TEJO,AMIEIRA,"ALT. NOME (DEC. L. 41157, DE 17 JUN. 1957)",,NISA,,
2455,121211,UNIÃO DAS FREGUESIAS DE AREZ E AMIEIRA DO TEJO,121203,AREZ,,,,NISA,,
2456,121212,"UNIÃO DAS FREGUESIAS DE ESPÍRITO SANTO, NOSSA SENHORA DA GRAÇA E SÃO SIMÃO",121204,ESPÍRITO SANTO,,"O DEC. L. 40191, DE 20 JUN. 1955, DEFINE O NOVO LIMITE, ENTRE ESTA FREG. E A FREG. DE NOSSA SRA. DA GRAÇA (NISA)",,NISA,,
2457,121212,"UNIÃO DAS FREGUESIAS DE ESPÍRITO SANTO, NOSSA SENHORA DA GRAÇA E SÃO SIMÃO",121206,NOSSA SENHORA DA GRAÇA,,"O DEC. L. 40191, DE 20 JUN. 1955, DEFINE O NOVO LIMITE, ENTRE ESTA FREG. E A FREG. DE ESPÍRITO STO. (NISA)",,NISA,,
2458,121212,"UNIÃO DAS FREGUESIAS DE ESPÍRITO SANTO, NOSSA SENHORA DA GRAÇA E SÃO SIMÃO",121209,SÃO SIMÃO,PÉ DE SERRA,"EM 1959 DEU ORIGEM À FREG. DE STA.NA (DEC. L. 42087, DE 5 JAN.)",,NISA,,
2459,121301,GALVEIAS,121301,GALVEIAS,,,,PONTE DE SOR,,
2460,121302,MONTARGIL,121302,MONTARGIL,,"EM 1984 DEU ORIGEM À FREG. DE FOROS DE ARRÃO (L. 46/84, DE 31 DEZ.)",,PONTE DE SOR,,
2461,121304,FOROS DE ARRÃO,121304,FOROS DE ARRÃO,,"FREG. (L. 46/84, DE 31 DEZ.); SAÍDA DA FREG. DE MONTARGIL",,PONTE DE SOR,,
2462,121305,LONGOMEL,121305,LONGOMEL,,"FREG. (L. 47/84, DE 31 DEZ.); SAÍDA DA FREG. DE PONTE DE SOR",,PONTE DE SOR,,
2463,121308,"UNIÃO DAS FREGUESIAS DE PONTE DE SOR, TRAMAGA E VALE DE AÇOR",121303,PONTE DE SOR,,"EM 1984 DEU ORIGEM ÀS FREG. DE LONGOMEL E DE VALE DE AÇOR (L. 47/84, DE 31 DEZ.); EM 1993 DEU ORIGEM À FREG. DE TRAMAGA",,PONTE DE SOR,,
2464,121308,"UNIÃO DAS FREGUESIAS DE PONTE DE SOR, TRAMAGA E VALE DE AÇOR",121306,VALE DE AÇOR,,"FREG. (L. 47/84, DE 31 DEZ.); SAÍDA DA FREG. DE PONTE DE SOR",,PONTE DE SOR,,
2465,121308,"UNIÃO DAS FREGUESIAS DE PONTE DE SOR, TRAMAGA E VALE DE AÇOR",121307,TRAMAGA,,"NOVA FREG. (L. 17C/93, DE 11 JUN.); SAÍDA DA FREG. DE PONTE DE SÔR",,PONTE DE SOR,,
2466,121401,ALAGOA,121401,ALAGOA,,,,PORTALEGRE,,
2467,121402,ALEGRETE,121402,ALEGRETE,,,,PORTALEGRE,,
2468,121404,FORTIOS,121404,FORTIOS,,"FREG. (L. 604, DE 15 JUN. 1916); SAÍDA DA FREG. DE SÃO LOURENÇO (PORTALEGRE); O DEC. L. 22304, DE 13 MAR. 1933, REVOGOU O DEC. L. 13027, QUE EXTINGUIA A FREG., ANEXANDO-A A SÃO LOURENÇO",,PORTALEGRE,,
2469,121410,URRA,121410,URRA,,,,PORTALEGRE,,
2470,121411,UNIÃO DAS FREGUESIAS DA SÉ E SÃO LOURENÇO,121408,SÃO LOURENÇO,,"CIDADE (CARTA RÉGIA DE 23 MAI. 1550); EM 1916 DEU ORIGEM À FREG. DE FORTIOS; O DEC. L. 22304, DE 13 MAR. 1933, REVOGOU O DEC. L. 13027, QUE EXTINGUIA A FREG. DE FORTIOS, ANEXANDO-A A SÃO LOURENÇO",,PORTALEGRE,,
2471,121411,UNIÃO DAS FREGUESIAS DA SÉ E SÃO LOURENÇO,121409,SÉ,,CIDADE (CARTA RÉGIA DE 23 MAI. 1550),,PORTALEGRE,,
2472,121412,UNIÃO DAS FREGUESIAS DE REGUENGO E SÃO JULIÃO,121405,REGUENGO,,,,PORTALEGRE,,
2473,121412,UNIÃO DAS FREGUESIAS DE REGUENGO E SÃO JULIÃO,121407,SÃO JULIÃO,,,,PORTALEGRE,,
2474,121413,UNIÃO DAS FREGUESIAS DE RIBEIRA DE NISA E CARREIRAS,121403,CARREIRAS,,,,PORTALEGRE,,
2475,121413,UNIÃO DAS FREGUESIAS DE RIBEIRA DE NISA E CARREIRAS,121406,RIBEIRA DE NISA,,,,PORTALEGRE,,
2476,121501,CANO,121501,CANO,,,,SOUSEL,,
2477,121502,CASA BRANCA,121502,CASA BRANCA,,,,SOUSEL,,
2478,121503,SANTO AMARO,121503,SANTO AMARO,,,,SOUSEL,,
2479,121504,SOUSEL,121504,SOUSEL,,VILA (ORIGEM DESCONHECIDA),,SOUSEL,,
2480,130103,ANSIÃES,130103,ANSIÃES,,,,AMARANTE,,
2481,130107,CANDEMIL,130107,CANDEMIL,,,,AMARANTE,,
2482,130112,FREGIM,130112,FREGIM,,,,AMARANTE,,
2483,130115,FRIDÃO,130115,FRIDÃO,,,,AMARANTE,,
2484,130117,GONDAR,130117,GONDAR,,,,AMARANTE,,
2485,130118,JAZENTE,130118,JAZENTE,,,,AMARANTE,,
2486,130119,LOMBA,130119,LOMBA,,,,AMARANTE,,
2487,130120,LOUREDO,130120,LOUREDO,,,,AMARANTE,,
2488,130121,LUFREI,130121,LUFREI,,,,AMARANTE,,
2489,130123,MANCELOS,130123,MANCELOS,,,,AMARANTE,,
2490,130126,PADRONELO,130126,PADRONELO,,,,AMARANTE,,
2491,130128,REBORDELO,130128,REBORDELO,,,,AMARANTE,,
2492,130129,SALVADOR DO MONTE,130129,SALVADOR DO MONTE,,,,AMARANTE,,
2493,130134,GOUVEIA (SÃO SIMÃO),130134,GOUVEIA (SÃO SIMÃO),,,,AMARANTE,,
2494,130135,TELÕES,130135,TELÕES,,,,AMARANTE,,
2495,130136,TRAVANCA,130136,TRAVANCA,,,,AMARANTE,,
2496,130138,VILA CAIZ,130138,VILA CAIZ,,,,AMARANTE,,
2497,130139,VILA CHÃ DO MARÃO,130139,VILA CHÃ DO MARÃO,VILA CHÃO DO MARÃO,"ALT. NOME (L. 31/99, DE 13 MAI.)",,AMARANTE,,
2498,130141,"UNIÃO DAS FREGUESIAS DE ABOADELA, SANCHE E VÁRZEA",130101,ABOADELA,,"FREG. (DEC. L. 23544, DE 03 FEV. 1934); SAÍDA DA FREG. DE VÁRZEA",,AMARANTE,,
2499,130141,"UNIÃO DAS FREGUESIAS DE ABOADELA, SANCHE E VÁRZEA",130130,SANCHE,,,,AMARANTE,,
2500,130141,"UNIÃO DAS FREGUESIAS DE ABOADELA, SANCHE E VÁRZEA",130137,VÁRZEA,,EM 1934 DEU ORIGEM À FREG. DE ABOADELA,,AMARANTE,,
2501,130142,"UNIÃO DAS FREGUESIAS DE AMARANTE (SÃO GONÇALO), MADALENA, CEPELOS E GATÃO",130110,CEPELOS,,"CIDADE (L. 32/85, DE 14 AGO.)",,AMARANTE,,
2502,130142,"UNIÃO DAS FREGUESIAS DE AMARANTE (SÃO GONÇALO), MADALENA, CEPELOS E GATÃO",130116,GATÃO,,,,AMARANTE,,
2503,130142,"UNIÃO DAS FREGUESIAS DE AMARANTE (SÃO GONÇALO), MADALENA, CEPELOS E GATÃO",130122,MADALENA,,"CIDADE (L. 32/85, DE 14 AGO.)",,AMARANTE,,
2504,130142,"UNIÃO DAS FREGUESIAS DE AMARANTE (SÃO GONÇALO), MADALENA, CEPELOS E GATÃO",130133,AMARANTE (SÃO GONÇALO),,"CIDADE (L. 32/85, DE 14 AGO.)",,AMARANTE,,
2505,130143,"UNIÃO DAS FREGUESIAS DE BUSTELO, CARNEIRO E CARVALHO DE REI",130105,BUSTELO,BOSTELO,"ALT. NOME (L. 16/91, DE 08 JUN.)",,AMARANTE,,
2506,130143,"UNIÃO DAS FREGUESIAS DE BUSTELO, CARNEIRO E CARVALHO DE REI",130108,CARNEIRO,,,,AMARANTE,,
2507,130143,"UNIÃO DAS FREGUESIAS DE BUSTELO, CARNEIRO E CARVALHO DE REI",130109,CARVALHO DE REI,,,,AMARANTE,,
2508,130144,UNIÃO DAS FREGUESIAS DE FIGUEIRÓ (SANTIAGO E SANTA CRISTINA),130131,FIGUEIRÓ (SANTA CRISTINA),,,,AMARANTE,,
2509,130144,UNIÃO DAS FREGUESIAS DE FIGUEIRÓ (SANTIAGO E SANTA CRISTINA),130132,FIGUEIRÓ (SANTIAGO),,,,AMARANTE,,
2510,130145,UNIÃO DAS FREGUESIAS DE FREIXO DE CIMA E DE BAIXO,130113,FREIXO DE BAIXO,,,,AMARANTE,,
2511,130145,UNIÃO DAS FREGUESIAS DE FREIXO DE CIMA E DE BAIXO,130114,FREIXO DE CIMA,,,,AMARANTE,,
2512,130146,UNIÃO DAS FREGUESIAS DE OLO E CANADELO,130106,CANADELO,,,,AMARANTE,,
2513,130146,UNIÃO DAS FREGUESIAS DE OLO E CANADELO,130125,OLO,,"FREG. (DEC. L. 23501, DE 25 JAN. 1934)",,AMARANTE,,
2514,130147,VILA MEÃ,130104,ATAÍDE,,,"Alteração da Denominação de Freguesia de ""União das Freguesias de Real, Ataíde e Oliveira"" para ""Vila Meã"" (L. 48/2015 de 5 junho).",AMARANTE,,
2515,130147,VILA MEÃ,130124,OLIVEIRA,,,,AMARANTE,,
