CONSULADO,Continente,Pais,Cidade,PT_MAI_12,PT_MAI_13,PT_MAI_14,PT_MAI_15,PT_MAI_16,PT_MAI_17,PT_MAI_18,PT_MAI_19,PT_MAI_20,PT_MAI_21
920306,AMÉRICA,BRASIL,RECIFE,1137.0,1137.0,1109.0,1090,1070.0,1041,3299,4016,4301,4438.0
920307,AMÉRICA,BRASIL,RIO DE JANEIRO,16169.0,17017.0,17618.0,21670,25409.0,26152,63995,66725,75319,79822.0
920308,AMÉRICA,BRASIL,SALVADOR (BAÍA),647.0,634.0,628.0,625,613.0,595,2284,2300,2378,2371.0
920310,AMÉRICA,BRASIL,S. PAULO,60497.0,65725.0,70921.0,77534,83444.0,85424,123833,132712,136957,128741.0
920311,AMÉRICA,BRASIL,FORTALEZA,330.0,374.0,459.0,541,584.0,544,1248,1426,1623,2035.0
920401,AMÉRICA,CANADÁ,MONTREAL,1403.0,1408.0,1374.0,1534,2015.0,2164,8005,8360,8475,8048.0
920402,AMÉRICA,CANADÁ,OTAVA,484.0,465.0,457.0,457,443.0,425,1364,1515,1523,1408.0
920403,AMÉRICA,CANADÁ,TORONTO,7889.0,9080.0,10122.0,11093,11117.0,10811,40765,43184,44354,42212.0
920404,AMÉRICA,CANADÁ,VANCOUVER,805.0,766.0,767.0,762,744.0,716,4577,4724,4974,5035.0
920501,AMÉRICA,COLÔMBIA,BOGOTÁ,171.0,208.0,237.0,277,277.0,272,429,593,667,840.0
920601,AMÉRICA,CUBA,HAVANA,1.0,1.0,1.0,24,19.0,17,14,28,28,26.0
920701,AMÉRICA,ESTADOS UNIDOS DA AMÉRICA,BOSTON,673.0,662.0,645.0,642,614.0,603,5618,5739,5929,5999.0
920702,AMÉRICA,ESTADOS UNIDOS DA AMÉRICA,NEWARK,3982.0,3954.0,4081.0,4264,4112.0,3933,16628,17825,17989,16882.0
920703,AMÉRICA,ESTADOS UNIDOS DA AMÉRICA,NEW BEDFORD,4294.0,4209.0,4137.0,4091,4026.0,3970,9045,9131,9266,7952.0
920704,AMÉRICA,ESTADOS UNIDOS DA AMÉRICA,NEW YORK,956.0,954.0,1022.0,1078,1125.0,1179,7231,8412,9069,9996.0
920705,AMÉRICA,ESTADOS UNIDOS DA AMÉRICA,PROVIDENCE,1020.0,972.0,958.0,1455,1820.0,2256,3390,3966,4274,4641.0
920706,AMÉRICA,ESTADOS UNIDOS DA AMÉRICA,SÃO FRANCISCO,240.0,244.0,235.0,547,925.0,1234,6598,6486,6534,6275.0
920707,AMÉRICA,ESTADOS UNIDOS DA AMÉRICA,WASHINGTON,256.0,295.0,273.0,640,625.0,1041,7459,8521,9640,11474.0
920801,AMÉRICA,MÉXICO,MÉXICO,24.0,23.0,23.0,70,68.0,59,489,678,817,1054.0
920901,AMÉRICA,PERU,LIMA,20.0,19.0,17.0,33,49.0,51,142,279,322,364.0
921001,AMÉRICA,URUGUAI,MONTEVIDEU,617.0,621.0,624.0,649,653.0,649,1135,1329,1353,1304.0
921101,AMÉRICA,VENEZUELA (República Bolivariana da),CARACAS,5918.0,7117.0,7652.0,9303,9422.0,8936,37516,34205,33991,34268.0
921102,AMÉRICA,VENEZUELA (República Bolivariana da),VALÊNCIA,7870.0,8253.0,8831.0,10548,10606.0,10338,17489,18162,18751,19418.0
921601,AMÉRICA,CHILE,SANTIAGO DO CHILE,22.0,24.0,30.0,78,80.0,70,435,807,967,1320.0
930101,ÁSIA E OCEÂNIA,ARÁBIA SAUDITA,RIYADH,22.0,20.0,23.0,49,49.0,44,278,284,267,328.0
930201,ÁSIA E OCEÂNIA,CHINA,PEQUIM,19.0,11.0,9.0,20,24.0,21,184,189,177,162.0
930203,ÁSIA E OCEÂNIA,CHINA,MACAU,11011.0,10969.0,10971.0,15977,16158.0,16085,72101,69848,70106,66954.0
930204,ÁSIA E OCEÂNIA,CHINA,XANGAI,41.0,47.0,50.0,63,56.0,52,155,171,171,154.0
930401,ÁSIA E OCEÂNIA,ÍNDIA,NOVA DELHI,13.0,13.0,12.0,5,4.0,9,495,408,409,404.0
930402,ÁSIA E OCEÂNIA,ÍNDIA,GOA,1652.0,1635.0,1619.0,1632,1626.0,1614,33708,27202,23911,18867.0
930501,ÁSIA E OCEÂNIA,IRÃO (República Islâmica do),TEERÃO,3.0,2.0,2.0,2,2.0,2,5,5,5,7.0
930701,ÁSIA E OCEÂNIA,JAPÃO,TÓQUIO,48.0,53.0,49.0,54,60.0,61,236,267,275,285.0
930801,ÁSIA E OCEÂNIA,PAQUISTÃO,ISLAMABAD,13.0,12.0,12.0,12,11.0,8,24,22,22,24.0
931001,ÁSIA E OCEÂNIA,TAILÂNDIA,BANGUECOQUE,6.0,6.0,6.0,27,20.0,14,107,126,158,175.0
931201,ÁSIA E OCEÂNIA,AUSTRÁLIA,CAMBERRA,33.0,33.0,37.0,51,59.0,59,189,192,194,188.0
931202,ÁSIA E OCEÂNIA,AUSTRÁLIA,SIDNEY,1520.0,1531.0,1690.0,1952,1923.0,1870,8164,7934,7935,7461.0
932201,ÁSIA E OCEÂNIA,INDONÉSIA,JACARTA,3.0,3.0,1.0,2,3.0,5,101,113,109,105.0
932301,ÁSIA E OCEÂNIA,ISRAEL,TEL-AVIV,14.0,17.0,15.0,41,36.0,34,787,1430,2004,7002.0
933301,ÁSIA E OCEÂNIA,SINGAPURA,SINGAPURA,16.0,18.0,34.0,62,68.0,67,309,388,426,459.0
933601,ÁSIA E OCEÂNIA,COREIA (República da),SEUL,10.0,7.0,6.0,11,7.0,6,21,22,28,50.0
934101,ÁSIA E OCEÂNIA,TIMOR-LESTE,DILI,247.0,181.0,225.0,281,208.0,153,876,948,949,944.0
934401,ÁSIA E OCEÂNIA,EMIRADOS ÁRABES UNIDOS,ABU DHABI,4.0,7.0,8.0,96,104.0,99,2295,2708,2678,2665.0
812401,EUROPA,ANDORRA,ANDORRA,,875.0,1168.0,1533,2094.0,2275,6770,7206,7557,7808.0
912901,ÁFRICA,GUINÉ EQUATORIAL,MALABO,,,,5,5.0,3,28,22,16,11.0
934901,ÁSIA E OCEÂNIA,CATAR,DOHA,,,,59,54.0,48,480,533,533,496.0
922801,AMÉRICA,PANAMÁ,PANAMÁ,,,,,45.0,42,556,929,1145,1497.0
924301,AMÉRICA,ARUBA,ARUBA,,,,,,24,61,,,
924401,AMÉRICA,CURAÇAU,CURAÇAU,,,,,,164,224,,,
915301,ÁFRICA,ETIÓPIA,ADDIS ABEBA,,,,,,,20,20,19,20.0
930205,ÁSIA E OCEÂNIA,CHINA,CANTÃO,,,,,,,34,49,58,72.0
935301,ÁSIA E OCEÂNIA,CAZAQUISTÃO,ASTANA,,,,,,,13,13,8,7.0
814402,EUROPA,ESLOVÁQUIA,ESLOVÁQUIA,,,,,,,,,,114.0
