MAI_code,ISO_code,Continente,Pais,PT_MAI_12,PT_MAI_13,PT_MAI_14,PT_MAI_15,PT_MAI_16,PT_MAI_17,PT_MAI_18,PT_MAI_19,PT_MAI_20,PT_MAI_21,N_Consulados
8117,LUX,EUROPA,LUXEMBURGO,1819.0,1733.0,1796.0,2027.0,2137.0,2163.0,48632.0,46184.0,44265.0,40321.0,1
8118,NOR,EUROPA,NORUEGA,122.0,118.0,135.0,237.0,250.0,242.0,2693.0,2911.0,2999.0,3191.0,1
8119,POL,EUROPA,POLÓNIA,98.0,110.0,107.0,133.0,124.0,132.0,571.0,734.0,820.0,959.0,1
8120,GBR,EUROPA,REINO UNIDO DA GRÃ-BRETANHA E IRLANDA DO NORTE,1335.0,1375.0,1471.0,2505.0,2773.0,2973.0,117878.0,130721.0,140877.0,156706.0,2
8121,ROU,EUROPA,ROMÉNIA,12.0,10.0,7.0,32.0,32.0,34.0,654.0,733.0,750.0,824.0,1
8122,SWE,EUROPA,SUÉCIA,270.0,286.0,369.0,496.0,595.0,694.0,1500.0,1834.0,2006.0,2230.0,1
8123,RUS,EUROPA,FEDERAÇÃO DA RÚSSIA,7.0,6.0,9.0,27.0,37.0,33.0,144.0,178.0,192.0,251.0,1
8124,AND,EUROPA,ANDORRA,0.0,875.0,1168.0,1533.0,2094.0,2275.0,6770.0,7206.0,7557.0,7808.0,1
8130,CHE,EUROPA,SUÍÇA,9955.0,10317.0,10456.0,11087.0,11623.0,11670.0,147208.0,147405.0,149940.0,149821.0,3
8134,UKR,EUROPA,UCRÂNIA,1.0,1.0,1.0,1.0,1.0,1.0,74.0,74.0,85.0,106.0,1
8144,SVK,EUROPA,ESLOVÁQUIA,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,2
8146,HRV,EUROPA,CROÁCIA,1.0,1.0,1.0,12.0,8.0,7.0,26.0,34.0,39.0,52.0,1
8147,SVN,EUROPA,ESLOVÉNIA,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8149,TUR,EUROPA,TURQUIA,6.0,2.0,24.0,90.0,70.0,55.0,1081.0,1741.0,2191.0,3027.0,1
8150,CYP,EUROPA,CHIPRE,8.0,5.0,5.0,15.0,25.0,33.0,162.0,198.0,229.0,258.0,1
9101,ZAF,ÁFRICA,ÁFRICA DO SUL,6750.0,7053.0,8261.0,8515.0,8372.0,8035.0,32535.0,34390.0,35260.0,34395.0,3
9102,AGO,ÁFRICA,ANGOLA,775.0,704.0,653.0,762.0,709.0,639.0,20088.0,19298.0,18909.0,18154.0,2
9103,DZA,ÁFRICA,ARGÉLIA,1.0,0.0,0.0,8.0,6.0,4.0,53.0,40.0,33.0,24.0,1
9104,CPV,ÁFRICA,CABO VERDE,541.0,552.0,521.0,650.0,637.0,597.0,2733.0,3519.0,4023.0,4754.0,1
9105,EGY,ÁFRICA,EGITO,7.0,4.0,5.0,8.0,10.0,9.0,38.0,39.0,38.0,38.0,1
9106,MAR,ÁFRICA,MARROCOS,21.0,21.0,20.0,30.0,27.0,25.0,144.0,185.0,266.0,380.0,1
9107,MOZ,ÁFRICA,MOÇAMBIQUE,1785.0,1754.0,1796.0,2244.0,2226.0,2054.0,9272.0,9605.0,9857.0,9996.0,2
9108,NGA,ÁFRICA,NIGÉRIA,1.0,1.0,1.0,3.0,3.0,2.0,104.0,101.0,86.0,85.0,1
