MAI_code,ISO_code,Continente,Pais,Cidade,PT_MAI_12,PT_MAI_13,PT_MAI_14,PT_MAI_15,PT_MAI_16,PT_MAI_17,PT_MAI_18,PT_MAI_19,PT_MAI_20,PT_MAI_21
910501,EGY,ÁFRICA,EGITO,CAIRO,7.0,4.0,5.0,8.0,10.0,9.0,38.0,39.0,38.0,38.0
910601,MAR,ÁFRICA,MARROCOS,RABAT,21.0,21.0,20.0,30.0,27.0,25.0,144.0,185.0,266.0,380.0
910701,MOZ,ÁFRICA,MOÇAMBIQUE,MAPUTO,1398.0,1369.0,1378.0,1754.0,1730.0,1593.0,8327.0,8566.0,8770.0,8856.0
910702,MOZ,ÁFRICA,MOÇAMBIQUE,BEIRA,387.0,385.0,418.0,490.0,496.0,461.0,945.0,1039.0,1087.0,1140.0
910801,NGA,ÁFRICA,NIGÉRIA,ABUJA,1.0,1.0,1.0,3.0,3.0,2.0,104.0,101.0,86.0,85.0
910901,STP,ÁFRICA,SÃO TOMÉ E PRÍNCIPE,SÃO TOMÉ,202.0,213.0,188.0,200.0,170.0,143.0,580.0,630.0,682.0,711.0
911001,SEN,ÁFRICA,SENEGAL,DACAR,21.0,19.0,16.0,27.0,24.0,18.0,246.0,305.0,329.0,364.0
911101,TUN,ÁFRICA,TUNÍSIA,TUNES,1.0,1.0,1.0,8.0,6.0,5.0,53.0,63.0,69.0,125.0
911201,COG,ÁFRICA,CONGO (República Democrática do),KINSHASA,103.0,105.0,101.0,94.0,86.0,80.0,152.0,139.0,132.0,164.0
911401,ZWE,ÁFRICA,ZIMBABUÉ,HARARE,346.0,335.0,328.0,291.0,281.0,274.0,389.0,434.0,438.0,415.0
911501,GNB,ÁFRICA,GUINÉ-BISSAU,BISSAU,155.0,135.0,125.0,159.0,131.0,114.0,159.0,173.0,184.0,167.0
913201,LBY,ÁFRICA,LÍBIA,TRIPOLI,14.0,11.0,7.0,3.0,3.0,3.0,6.0,6.0,3.0,4.0
914601,NAM,ÁFRICA,NAMÍBIA,WINDHOEK,259.0,251.0,245.0,267.0,258.0,246.0,406.0,463.0,508.0,502.0
920101,ARG,AMÉRICA,ARGENTINA,BUENOS AIRES,1268.0,1288.0,1337.0,1448.0,1452.0,1453.0,5187.0,5993.0,6185.0,6397.0
920301,BRA,AMÉRICA,BRASIL,BELÉM DO PARÁ,3492.0,3427.0,3535.0,3981.0,4113.0,4139.0,6968.0,7471.0,7871.0,7621.0
920302,BRA,AMÉRICA,BRASIL,BELO HORIZONTE,652.0,643.0,633.0,641.0,625.0,622.0,4594.0,4774.0,5106.0,5616.0
920303,BRA,AMÉRICA,BRASIL,BRASÍLIA,163.0,161.0,149.0,150.0,165.0,173.0,4661.0,5011.0,5247.0,5783.0
920304,BRA,AMÉRICA,BRASIL,CURITIBA,4250.0,4960.0,5680.0,6673.0,7281.0,7855.0,8338.0,8866.0,9167.0,8409.0
920305,BRA,AMÉRICA,BRASIL,PORTO ALEGRE,355.0,353.0,352.0,475.0,500.0,649.0,1692.0,2164.0,2431.0,2835.0
920306,BRA,AMÉRICA,BRASIL,RECIFE,1137.0,1137.0,1109.0,1090.0,1070.0,1041.0,3299.0,4016.0,4301.0,4438.0
920307,BRA,AMÉRICA,BRASIL,RIO DE JANEIRO,16169.0,17017.0,17618.0,21670.0,25409.0,26152.0,63995.0,66725.0,75319.0,79822.0
920308,BRA,AMÉRICA,BRASIL,SALVADOR (BAÍA),647.0,634.0,628.0,625.0,613.0,595.0,2284.0,2300.0,2378.0,2371.0
920310,BRA,AMÉRICA,BRASIL,S. PAULO,60497.0,65725.0,70921.0,77534.0,83444.0,85424.0,123833.0,132712.0,136957.0,128741.0
920311,BRA,AMÉRICA,BRASIL,FORTALEZA,330.0,374.0,459.0,541.0,584.0,544.0,1248.0,1426.0,1623.0,2035.0
920401,CAN,AMÉRICA,CANADÁ,MONTREAL,1403.0,1408.0,1374.0,1534.0,2015.0,2164.0,8005.0,8360.0,8475.0,8048.0
920402,CAN,AMÉRICA,CANADÁ,OTAVA,484.0,465.0,457.0,457.0,443.0,425.0,1364.0,1515.0,1523.0,1408.0
920403,CAN,AMÉRICA,CANADÁ,TORONTO,7889.0,9080.0,10122.0,11093.0,11117.0,10811.0,40765.0,43184.0,44354.0,42212.0
920404,CAN,AMÉRICA,CANADÁ,VANCOUVER,805.0,766.0,767.0,762.0,744.0,716.0,4577.0,4724.0,4974.0,5035.0
920501,COL,AMÉRICA,COLÔMBIA,BOGOTÁ,171.0,208.0,237.0,277.0,277.0,272.0,429.0,593.0,667.0,840.0
920601,CUB,AMÉRICA,CUBA,HAVANA,1.0,1.0,1.0,24.0,19.0,17.0,14.0,28.0,28.0,26.0
920701,USA,AMÉRICA,ESTADOS UNIDOS DA AMÉRICA,BOSTON,673.0,662.0,645.0,642.0,614.0,603.0,5618.0,5739.0,5929.0,5999.0
920702,USA,AMÉRICA,ESTADOS UNIDOS DA AMÉRICA,NEWARK,3982.0,3954.0,4081.0,4264.0,4112.0,3933.0,16628.0,17825.0,17989.0,16882.0
920703,USA,AMÉRICA,ESTADOS UNIDOS DA AMÉRICA,NEW BEDFORD,4294.0,4209.0,4137.0,4091.0,4026.0,3970.0,9045.0,9131.0,9266.0,7952.0
920704,USA,AMÉRICA,ESTADOS UNIDOS DA AMÉRICA,NEW YORK,956.0,954.0,1022.0,1078.0,1125.0,1179.0,7231.0,8412.0,9069.0,9996.0
920705,USA,AMÉRICA,ESTADOS UNIDOS DA AMÉRICA,PROVIDENCE,1020.0,972.0,958.0,1455.0,1820.0,2256.0,3390.0,3966.0,4274.0,4641.0
920706,USA,AMÉRICA,ESTADOS UNIDOS DA AMÉRICA,SÃO FRANCISCO,240.0,244.0,235.0,547.0,925.0,1234.0,6598.0,6486.0,6534.0,6275.0
920707,USA,AMÉRICA,ESTADOS UNIDOS DA AMÉRICA,WASHINGTON,256.0,295.0,273.0,640.0,625.0,1041.0,7459.0,8521.0,9640.0,11474.0
920801,MEX,AMÉRICA,MÉXICO,MÉXICO,24.0,23.0,23.0,70.0,68.0,59.0,489.0,678.0,817.0,1054.0
920901,PER,AMÉRICA,PERU,LIMA,20.0,19.0,17.0,33.0,49.0,51.0,142.0,279.0,322.0,364.0
